,title,pitchfork,bnm,year,artist,genre,fantano,_merge
2984,never hungover again,7.8,0.0,2014.0,joyce manor,rock,6.0,both
2991,want,7.7,0.0,2014.0,wreck and reference,metal,6.0,both
3002,world peace is none of your business,5.9,0.0,2014.0,morrissey,rock,5.0,both
3010,insa,6.6,0.0,2014.0,mellowhype,rap,3.0,both
3017,celestite,4.7,0.0,2014.0,wolves in the throne room,rock,8.0,both
3018,celestite,4.7,0.0,2014.0,wolves in the throne room,metal,8.0,both
3055,neon icon,5.4,0.0,2014.0,riff raff,rap,5.0,both
3058,blissfucker,7.3,0.0,2014.0,trap them,rock,5.0,both
3059,blissfucker,7.3,0.0,2014.0,trap them,metal,5.0,both
3061,these days...,7.7,0.0,2014.0,ab-soul,rap,5.0,both
3066,once more 'round the sun,6.3,0.0,2014.0,mastodon,metal,7.0,both
3072,eyehategod,8.0,0.0,2014.0,eyehategod,,6.0,both
3073,sea when absent,8.5,1.0,2014.0,a sunny day in glasgow,rock,7.0,both
3085,why do the heathen rage?,8.2,0.0,2014.0,the soft pink truth,electronic,7.0,both
3086,dark comedy,8.0,0.0,2014.0,open mike eagle,rap,8.0,both
3089,reality testing,8.0,0.0,2014.0,lone,electronic,3.0,both
3105,ultraviolence,7.1,0.0,2014.0,lana del rey,pop/r&b,2.0,both
3114,clppng,5.6,0.0,2014.0,clipping.,rap,9.0,both
3132,lazaretto,7.1,0.0,2014.0,jack white,rock,5.0,both
3145,esoteric warfare,7.6,0.0,2014.0,mayhem,metal,7.0,both
3150,sunbathing animal,8.6,1.0,2014.0,parquet courts,rock,4.0,both
3168,a u r o r a,8.5,1.0,2014.0,ben frost,electronic,5.0,both
3169,no peace,7.7,0.0,2014.0,trash talk,metal,5.0,both
3184,are we there,8.2,0.0,2014.0,sharon van etten,rock,6.0,both
3193,in conflict,8.0,0.0,2014.0,owen pallett,pop/r&b,7.0,both
3194,good to be home,6.5,0.0,2014.0,blu,rap,6.0,both
3197,...and then you shoot your cousin,7.2,0.0,2014.0,the roots,rap,4.0,both
3204,faces,7.3,0.0,2014.0,mac miller,rap,6.0,both
3207,ultima ii massage,6.9,0.0,2014.0,tobacco,electronic,8.0,both
3209,ghost stories,4.4,0.0,2014.0,coldplay,rock,4.0,both
3232,white women,7.6,0.0,2014.0,chromeo,rock,5.0,both
3233,white women,7.6,0.0,2014.0,chromeo,electronic,5.0,both
3238,turn blue,5.8,0.0,2014.0,the black keys,rock,4.0,both
3243,to be kind,9.2,1.0,2014.0,swans,rock,10.0,both
3244,nabuma rubberband,6.8,0.0,2014.0,little dragon,electronic,6.0,both
3265,ii,7.5,0.0,2014.0,makthaverskan,rock,7.0,both
3268,nikki nack,8.1,0.0,2014.0,tune-yards,pop/r&b,8.0,both
3276,i never learn,8.4,1.0,2014.0,lykke li,pop/r&b,6.0,both
3297,more than any other day,8.4,1.0,2014.0,ought,rock,7.0,both
3302,everyday robots,7.0,0.0,2014.0,damon albarn,pop/r&b,5.0,both
3319,honest,8.1,0.0,2014.0,future,rap,2.0,both
3330,z,5.9,0.0,2014.0,sza,pop/r&b,4.0,both
3339,so it goes,7.5,0.0,2014.0,ratking,rap,8.0,both
3343,built on glass,7.3,0.0,2014.0,chet faker,electronic,3.0,both
3374,wasted years,6.2,0.0,2014.0,off!,rock,7.0,both
3375,wasted years,6.2,0.0,2014.0,off!,metal,7.0,both
3379,it's album time,8.7,1.0,2014.0,todd terje,electronic,6.0,both
3389,baby,7.2,0.0,2014.0,white hinterland,rock,8.0,both
3400,salad days,8.5,1.0,2014.0,mac demarco,rock,5.0,both
3405,here and nowhere else,8.7,1.0,2014.0,cloud nothings,rock,6.0,both
3422,my krazy life,8.1,0.0,2014.0,yg,rap,6.0,both
3425,boy,7.6,0.0,2014.0,carla bozulich,experimental,8.0,both
3427,singles,8.0,0.0,2014.0,future islands,rock,7.0,both
3429,dissed and dismissed,7.5,0.0,2014.0,tony molina,,7.0,both
3431,mess,6.9,0.0,2014.0,liars,rock,8.0,both
3432,mess,6.9,0.0,2014.0,liars,experimental,8.0,both
3438,recess,5.7,0.0,2014.0,skrillex,electronic,5.0,both
3455,lost in the dream,8.8,1.0,2014.0,the war on drugs,rock,7.0,both
3458,awake,7.0,0.0,2014.0,tycho,electronic,6.0,both
